,,Standard Recovery Rectifiers,,,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Configuration,Package Type,IF(AV)(A),VRWM (V),"VF
(V) [max]@IF(A)","IR (uA)  [max] @
VR",TRR (μs),IFSM (A),IF(A),VR (V),"Tj [max]
(°C)"
,,,,,,,,,,,,,,,
MCC (Micro Commercial Components),GS2MHL,Active,R H,Single,,SOD-123HL,2,1000,1.1,5,,50,2,1000,150
MCC (Micro Commercial Components),M4FL,Active,R H,Single,,DO-221AC,1,400,1.1,5,,30,1,400,150
MCC (Micro Commercial Components),M7FL,Active,R H,Single,,DO-221AC,1,1000,1.1,5,,30,1,1000,150
MCC (Micro Commercial Components),GS1ZFL,Active,R H,Single,,DO-221AC,1,2000,1.15,1,2.5,30,1,2000,150
MCC (Micro Commercial Components),GS1JPBQ,Active,A R H,Single,,SOD-323HE-B,1,600,1.15,5,,18,1,600,175
MCC (Micro Commercial Components),GS1MFLHE3,Active,A R H,Single,,DO-221AC,1,1000,1.1,5,,40,1,1000,150
MCC (Micro Commercial Components),GS2MFLHE3,Active,A R H,Single,,DO-221AC,2,1000,1.15,5,,50,2,1000,150
MCC (Micro Commercial Components),GS1JPB,Active,R H,Single,,SOD-323HE-B,1,600,1.1,5,,18,1,600,125
MCC (Micro Commercial Components),GS1GFLQ,Active,A R H,Single,,DO-221AC,1,400,1.1,5,2,40,1,400,175
MCC (Micro Commercial Components),GS1JFLQ,Active,A R H,Single,,DO-221AC,1,600,1.1,5,2,40,1,600,175
MCC (Micro Commercial Components),GS2GFLQ,Active,A R H,Single,,DO-221AC,2,400,1.15,5,2.5,50,2,400,175
MCC (Micro Commercial Components),GS2JFLQ,Active,A R H,Single,,DO-221AC,2,600,1.15,5,2.5,50,2,600,175
MCC (Micro Commercial Components),GS1JFL,Active,R H,Single,,DO-221AC,1,600,1,5,,30,1,600,150
MCC (Micro Commercial Components),GS1MFL,Active,R H,Single,,DO-221AC,1,1000,1,5,,30,1,1000,150
MCC (Micro Commercial Components),GS2JFL,Active,R H,Single,,DO-221AC,2,600,1.1,5,2.1,50,2,600,150
MCC (Micro Commercial Components),GS2KFL,Active,R H,Single,,DO-221AC,2,800,1.1,5,2.1,50,2,800,150
MCC (Micro Commercial Components),GS2MFL,Active,R H,Single,,DO-221AC,2,1000,1.1,5,2.1,50,2,1000,150
MCC (Micro Commercial Components),GSU8M,Active,R H,Single,,TO-277,8,1000,1.1,5,4.3,200,8,1000,150
MCC (Micro Commercial Components),GSU10M,Active,R H,Single,,TO-277,10,1000,1.2,5,4.3,230,10,1000,150
MCC (Micro Commercial Components),RL257GPL,Active,R,Single,,DO-15,2.5,1000,1.1,2.5,,120,2.5,1000,150
MCC (Micro Commercial Components),BY133GP,Active,R,Single,,DO-41,1,1300,1.1,5,,30,1,1300,150
MCC (Micro Commercial Components),1N5413GP,Active,R,Single,,DO-201AD,3,1300,1.1,5,,100,3,1300,150
MCC (Micro Commercial Components),1N5416GP,Active,R,Single,,DO-201AD,3,1600,1.2,5,,100,3,1600,150
MCC (Micro Commercial Components),EM513GP,Active,R,Single,,DO-41,1,1600,1.25,5,,25,1,1600,150
MCC (Micro Commercial Components),EM516GP,Active,R,Single,,DO-41,1,1800,1.25,5,,25,1,1800,150
MCC (Micro Commercial Components),EM518GP,Active,R,Single,,DO-41,1,2000,1.25,5,,25,1,2000,150
MCC (Micro Commercial Components),F1200D,Active,R,Single,,R-6,12,150,0.87,5,,390,12,150,200
MCC (Micro Commercial Components),R4000GPS,Active,R,Single,,DO-41,0.2,4000,3.5,5,>1.2,15,0.5,4000,150
MCC (Micro Commercial Components),10A04GP,Active,R,Single,,R-6,10,400,1,5,,300,10,400,150
MCC (Micro Commercial Components),10A05GP,Active,R,Single,,R-6,10,600,1,5,,300,10,600,150
MCC (Micro Commercial Components),10A06GP,Active,R,Single,,R-6,10,800,1,5,,300,10,800,150
MCC (Micro Commercial Components),10A07GP,Active,R,Single,,R-6,10,1000,1,5,,300,10,1000,150
MCC (Micro Commercial Components),1N4004,Active,R,Single,,DO-41,1,400,1,5,2,30,1,400,150
MCC (Micro Commercial Components),1N4004GP,Active,R,Single,,DO-41,1,400,1.1,5,2,30,1,400,175
MCC (Micro Commercial Components),1N4005,Active,R,Single,,DO-41,1,600,1,5,2,30,1,600,150
MCC (Micro Commercial Components),1N4006,Active,R,Single,,DO-41,1,800,1,5,2,30,1,800,150
MCC (Micro Commercial Components),1N4007,Active,R,Single,,DO-41,1,1000,1,5,2,30,1,1000,150
MCC (Micro Commercial Components),1N4007GP,Active,R,Single,,DO-41,1,1000,1.1,5,2,30,1,1000,175
MCC (Micro Commercial Components),1N5395GP,Active,R,Single,,DO-15,1.5,400,1.4,5,,50,1.5,400,150
MCC (Micro Commercial Components),1N5397GP,Active,R,Single,,DO-15,1.5,600,1.4,5,,50,1.5,600,150
MCC (Micro Commercial Components),1N5398GP,Active,R,Single,,DO-15,1.5,800,1.4,5,,50,1.5,800,150
MCC (Micro Commercial Components),1N5399GP,Active,R,Single,,DO-15,1.5,1000,1.4,5,,50,1.5,1000,150
MCC (Micro Commercial Components),1N5404GP,Active,R,Single,,DO-201AD,3,400,1.1,5,,200,3,400,150
MCC (Micro Commercial Components),1N5406GP,Active,R,Single,,DO-201AD,3,600,1.1,5,,200,3,600,150
MCC (Micro Commercial Components),1N5407GP,Active,R,Single,,DO-201AD,3,800,1.1,5,,200,3,800,150
MCC (Micro Commercial Components),1N5408GP,Active,R,Single,,DO-201AD,3,1000,1.1,5,,200,3,1000,150
MCC (Micro Commercial Components),RL105,Active,R,Single,,A-405,1,600,1.1,5,,30,1,600,150
MCC (Micro Commercial Components),RL105GP,Active,R,Single,,A-405,1,600,1.1,5,,30,1,600,150
MCC (Micro Commercial Components),RL106,Active,R,Single,,A-405,1,800,1.1,5,,30,1,800,150
MCC (Micro Commercial Components),RL106GP,Active,R,Single,,A-405,1,800,1.1,5,,30,1,800,150
MCC (Micro Commercial Components),RL107,Active,R,Single,,A-405,1,1000,1.1,5,,30,1,1000,150
MCC (Micro Commercial Components),RL107GP,Active,R,Single,,A-405,1,1000,1.1,5,,30,1,1000,150
MCC (Micro Commercial Components),RL205GP,Active,R,Single,,DO-15,2,600,1,5,,70,2,600,150
MCC (Micro Commercial Components),RL206GP,Active,R,Single,,DO-15,2,800,1,5,,70,2,800,150
MCC (Micro Commercial Components),RL207GP,Active,R,Single,,DO-15,2,1000,1,5,,70,2,1000,150
MCC (Micro Commercial Components),RL255GP,Active,R,Single,,R-3,2.5,600,1.1,5,,70,2.5,600,150
MCC (Micro Commercial Components),RL256GP,Active,R,Single,,R-3,2.5,800,1.1,5,,70,2.5,800,150
MCC (Micro Commercial Components),RL257GP,Active,R,Single,,R-3,2.5,1000,1.1,5,,70,2.5,1000,150
MCC (Micro Commercial Components),DR756,Active,R,Single,,R-6,6,600,1.1,10,,200,6,600,150
MCC (Micro Commercial Components),DR758,Active,R,Single,,R-6,6,800,1.1,10,,200,6,800,150
MCC (Micro Commercial Components),DR7510,Active,R,Single,,R-6,6,1000,1.1,10,,200,6,1000,150
MCC (Micro Commercial Components),60S10,Active,R,Single,,DO-201AD,6,1000,1,5,,200,6,1000,150
MCC (Micro Commercial Components),60S6,Active,R,Single,,DO-201AD,6,600,1,5,,200,6,600,150
MCC (Micro Commercial Components),60S8,Active,R,Single,,DO-201AD,6,800,1,5,,200,6,800,150
MCC (Micro Commercial Components),6A6G,Active,R,Single,,R-6,6,600,1,10,,200,6,600,150
MCC (Micro Commercial Components),6A8G,Active,R,Single,,R-6,6,800,1,10,,200,6,800,150
MCC (Micro Commercial Components),6A10G,Active,R,Single,,R-6,6,1000,1,10,,200,6,1000,150
MCC (Micro Commercial Components),GPBF2006C,Active,R H,Single,,TO-263AC,20,600,1.1,10,1.2,150,20,600,175
MCC (Micro Commercial Components),GPBF2506C,Active,R H,Single,,TO-263AC,25,600,1.15,10,1.28,180,25,600,175
MCC (Micro Commercial Components),GPB2506C,Active,R H,Single,,D2-PAK,25,600,1.1,5,,300,25,600,175
MCC (Micro Commercial Components),GS2Z-L,Active,R H,Single,,SMA,2,2000,1.3,5,,40,2,2000,150
MCC (Micro Commercial Components),GS5Z,Active,R H,Single,,SMC,5,2000,1.1,5,,200,5,2000,150
MCC (Micro Commercial Components),GS1ZS-L,Active,R H,Single,,SMA,1,2000,1.15,5,2.5,30,1,2000,150
MCC (Micro Commercial Components),GS2ZL-L,Active,R H,Single,,SMA,2,2000,1.2,5,,50,2,2000,150
MCC (Micro Commercial Components),GS1D-L,Active,R H,Single,,SMA,1,200,1,5,2,30,1,200,150
MCC (Micro Commercial Components),GS1G-L,Active,R H,Single,,SMA,1,400,1,5,2,30,1,400,150
MCC (Micro Commercial Components),GS1J-L,Active,R H,Single,,SMA,1,600,1,5,2,30,1,600,150
