,,Small Signal MOSFETS,,,,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Channel,Package Type,"Drain-Source
Voltage
VDS (V)","Gate-Source
Voltage
VGS (V)","Drain
Current
ID (A)","RDS(ON)
Max
@VGS=10V
(Ω)","RDS(ON)
Max
@VGS=4.5V
(Ω)","RDS(ON)
Max
@VGS=2.5V
(Ω)","Gate
Threshold
Voltage
VGS(th) Min
(V)","Gate
Threshold
Voltage
VGS(th) Max
(V)","ESD
Diodes","Junction
Temperature
Tj [max]
MCC (Micro Commercial Components),SL01N65,Active,R H,Single,N,SOT-23-3L,650,±30,1,11,,,2,4,No,150
MCC (Micro Commercial Components),SL100N10L,Active,R H,Single,N,SOT-23-3L,100,±20,2,0.1,0.11,,1.3,2.3,No,150
MCC (Micro Commercial Components),SL3402,Active,R H,Single,N,SOT-23-3L,30,±12,4.5,0.027,0.033,0.051,0.6,1.4,No,150
MCC (Micro Commercial Components),SI03N06,Active,R H,Single,N,SOT-23,60,±20,3,0.08,0.095,,0.9,2,No,150
MCC (Micro Commercial Components),SI150N10YLHE3,Active,A R H,Single,N,SOT-23,100,±20,1.8,0.15,0.21,,1.2,2.5,No,150
MCC (Micro Commercial Components),2N7002C,Active,R H,Single,N,SOT-23,60,±20,0.35,1,1.4,,1.1,2.5,No,150
MCC (Micro Commercial Components),SI3400B,Active,R H,Single,N,SOT-23,30,±12,5.6,0.028,0.03,0.055,0.6,1.5,No,150
MCC (Micro Commercial Components),SI2300S,Active,R H,Single,N,SOT-23,20,±12,4.3,,0.033,0.053,0.45,0.9,No,150
MCC (Micro Commercial Components),BSS84AK,Active,R H,Single,P,SOT-23,-60,+25/-30,-0.5,2,2.4,,-1.3,-3,Yes,150
MCC (Micro Commercial Components),SI085P03LK,Active,R H,Single,P,SOT-23,-30,±20,-2.6,0.085,0.13,,-1,-2,Yes,150
MCC (Micro Commercial Components),SL169P06LK,Active,R H,Single,P,SOT-23-3L,-60,±20,-1.8,0.169,0.25,,-1.1,-2.1,Yes,150
MCC (Micro Commercial Components),SL085P03LK,Active,R H,Single,P,SOT-23-3L,-30,±20,-2.7,0.085,0.125,,-1.0,-2.0,Yes,150
MCC (Micro Commercial Components),SI3415U,Active,R H,Single,P,SOT-23,-20,±8,-3.2,,0.065,0.08,-0.4,-1.2,Yes,150
MCC (Micro Commercial Components),SI3415C,Active,R H,Single,P,SOT-23,-20,±10,-3.9,,0.04,0.075,-0.55,-1.25,Yes,150
MCC (Micro Commercial Components),SI3415CHE3,Active,A R H,Single,P,SOT-23,-20,±10,-3.9,,0.04,0.075,-0.55,-1.25,Yes,150
MCC (Micro Commercial Components),SI3139KS,Active,R H,Single,P,SOT-23,-20,±12,-0.6,,0.85,1.2,-0.35,-1.1,Yes,150
MCC (Micro Commercial Components),SI3415BS,Active,R H,Single,P,SOT-23,-20,±10,-5.6,,0.042,0.055,-0.5,-0.9,Yes,150
MCC (Micro Commercial Components),BSS84KHE3,Active,A R H,Single,P,SOT-23,-60,±20,-0.4,2.9,3.5,,-1,-2.5,Yes,150
MCC (Micro Commercial Components),SI2301HE3,Active,A R H,Single,P,SOT-23,-20,±12,-2.4,,0.1,,-0.5,-1.5,Yes,150
MCC (Micro Commercial Components),SI3415D,Active,R H,Single,P,SOT-23,-20,±10,-3.9,,0.04,0.075,-0.55,-1,Yes,150
MCC (Micro Commercial Components),SI2321K,Active,R H,Single,P,SOT-23,-20,±8,-3,,0.08,0.1,-0.4,-1.2,Yes,150
MCC (Micro Commercial Components),SI01P02K,Active,R H,Single,P,SOT-23,-20,±8,-0.7,,0.7,0.9,-0.4,-1,Yes,150
