Manufacture,Product,Status,Compliance,Number of Functions,Channel,Package Type,Drain-Source Voltage VDS (V),Gate-Source Voltage VGS (V),Drain Current ID (A),Drain-Source On-Resistance RDS(ON) Max @VGS=10V (Ω),Drain-Source On-Resistance RDS(ON) Max @VGS=4.5V (Ω),Drain-Source On-Resistance RDS(ON) Max @VGS=2.5V (Ω),Gate Threshold Voltage VGS(th) Min (V),Gate Threshold Voltage VGS(th) Max (V),ESD Diodes,Junction Temperature Tj [max] (°C),Single Pulsed Avalanche Energy EAS(mJ),Pulsed Drain Current IDM(A)
MCC (Micro Commercial Components),MCU28P10Y,Active,R H,Single,P,DPAK,-100,±20,-28,0.058,0.065,,-1,-2.5,No,150,110,-112
MCC (Micro Commercial Components),MCU50P06Y,Active,R H,Single,P,DPAK,-60,±20,-50,0.012,0.015,,-1,-3,No,150,169,-200
MCC (Micro Commercial Components),MCT15P02,Active,R H,Single,P,SOT-223,-20,±10,-15,,0.025,0.03,-0.5,-0.9,No,150,16,-60
MCC (Micro Commercial Components),MCU12P06Y,Active,R H,Single,P,DPAK,-60,±20,-12,0.085,0.12,,-1,-2.5,No,150,35,-30
MCC (Micro Commercial Components),MCU18P10YHE3,Active,A R H,Single,P,DPAK,-100,±20,-18,0.11,0.12,,-1,-2.5,No,150,36,-72
MCC (Micro Commercial Components),MCB110P06Y,Active,R H,Single,P,D2-PAK,-60,±20,-110,0.0084,,,-2,-3.5,No,150,625,-440
MCC (Micro Commercial Components),MCU45P04A,Active,R H,Single,P,DPAK,-40,±20,-45,0.02,0.023,,-1,-2.5,No,150,132,-180
MCC (Micro Commercial Components),MCPF80P06Y,Active,R H,Single,P,TO-220F,-60,±20,-80,0.01,,,-2,-4,No,150,729,-320
MCC (Micro Commercial Components),MCP80P06Y,Active,R H,Single,P,TO-220AB(H),-60,±20,-80,0.0084,0.01,,-2,-3.5,No,150,729,-320
MCC (Micro Commercial Components),MCT08P10Y,Active,R H,Single,P,SOT-223,-100,±20,-8,0.11,0.13,,-1,-2.5,No,150,,-32
MCC (Micro Commercial Components),MCT04P06Y,Active,R H,Single,P,SOT-223,-60,±20,-4,0.085,0.12,,-1,-2.5,No,150,24,-16
MCC (Micro Commercial Components),MCU60P04A,Active,R H,Single,P,DPAK,-40,±20,-60,0.01,0.012,,-1,-2.5,No,150,100,-200
MCC (Micro Commercial Components),MCU65P04,Active,R H,Single,P,DPAK,-40,±20,-65,0.014,,,-1,-2.5,No,150,132,-220
MCC (Micro Commercial Components),MCU40P06,Active,R H,Single,P,DPAK,-60,±20,-40,0.025,0.034,,-1,-3,No,150,55,-160
MCC (Micro Commercial Components),MCU40P06Y,Active,R H,Single,P,DPAK,-60,±20,-40,0.029,,,-1,-2.5,No,150,70,-160
MCC (Micro Commercial Components),MCU20P03,Active,R H,Single,P,DPAK,-30,±20,-20,0.017,0.025,,-1,-2,No,150,84.5,-80
MCC (Micro Commercial Components),MCU15P10YHE3,Active,A R H,Single,P,DPAK,-100,±20,-15,0.12,,,-2,-4,No,150,72,-60
MCC (Micro Commercial Components),MCU50P06YHE3,Active,A R H,Single,P,DPAK,-60,±20,-50,0.012,0.016,,-1,-3,No,150,169,-200
MCC (Micro Commercial Components),MCU10P15,Active,R H,Single,P,DPAK,-150,±20,-10,0.31,,,-1,-3.5,No,150,36,-40
MCC (Micro Commercial Components),MCU013P06L,Active,R H,Single,P,DPAK,-60,±20,-70,0.013,0.022,,-1.2,-2.4,No,175,150,-280
MCC (Micro Commercial Components),MCQ105N10L,Active,R H,Single,N,SOP-8,100,±20,2.7,0.105,0.115,,1,2.5,No,150,9,10.8
MCC (Micro Commercial Components),MCAC6D0N03L,Active,R H,Single,N,PDFN5060,30,±20,77.8,0.006,0.008,,1,2.5,No,150,98,311.2
MCC (Micro Commercial Components),MCG3D6N03L,Active,R H,Single,N,DFN3333,30,±20,60,0.0036,0.0055,,1,2,No,150,400,240
MCC (Micro Commercial Components),MCG3D7N03L,Active,R H,Single,N,DFN3333,30,±20,100,0.0037,0.0052,,1,2,No,150,169,400
MCC (Micro Commercial Components),MCG8D2N06YL,Active,R H,Single,N,DFN3333,60,±20,45,0.0082,0.012,,1,2.5,No,175,49,180
MCC (Micro Commercial Components),MCG012N04LHE3,Active,A R H,Single,N,PDFN3333,40,±20,30,0.012,0.017,,1,2,No,150,40,120
MCC (Micro Commercial Components),MCGWF7D2N06YLHE3,Active,A R H,Single,N,DFN3333-8(SWF),60,±20,81,0.0072,0.0105,,1.3,2.3,No,175,136,324
MCC (Micro Commercial Components),MCAC9D6N06YL,Active,R H,Single,N,DFN5060,60,±20,53,0.0096,0.014,,1.3,2.3,No,150,42,212
MCC (Micro Commercial Components),MCAC5D9N04Y,Active,R H,Single,N,DFN5060,40,±20,72,0.0059,,,2,4,No,175,49,288
MCC (Micro Commercial Components),MCAC5D0N10Y,Active,R H,Single,N,DFN5060,100,±20,100,0.005,,,1.4,3,No,150,306,400
MCC (Micro Commercial Components),MCACLFD027N06LQ,Active,A R H,Dual,N+N,LFPAK56D,60,±20,27,0.027,0.039,,1.2,2.2,No,175,36,108
MCC (Micro Commercial Components),MCAC7D6N06Y,Active,R H,Single,N,DFN5060,60,±20,66,0.0076,,,1.5,2.5,No,150,153,264
MCC (Micro Commercial Components),MCAC8D5N10Y,Active,R H,Single,N,DFN5060,100,±20,85,0.0085,,,1.4,3,No,150,110,340
MCC (Micro Commercial Components),MCAC031N10Y,Active,R H,Single,N,DFN5060,100,±20,25.5,0.031,,,2.2,3.7,No,175,29,102
MCC (Micro Commercial Components),MCAC246N20YH,Active,R H,Single,N,DFN5060,200,±20,8.4,0.246,,,2.2,3.7,No,150,30.6,33.6
MCC (Micro Commercial Components),MCAC30N04,Active,R H,Single,N,DFN5060,40,±20,30,0.014,0.019,,1,2.5,No,150,49,120
MCC (Micro Commercial Components),MCACL280N04Y,Active,R H,Single,N,DFN5060-C,40,±20,280,0.0008,,,2,4,No,175,1458,1120
MCC (Micro Commercial Components),MCG5D8N04YHE3,Active,A R H,Single,N,PDFN3333,40,±20,70,0.0058,,,2,4,No,175,40,280
MCC (Micro Commercial Components),MCAC8D0N10Y,Active,R H,Single,N,DFN5060,100,±20,83,0.008,,,2.2,3.7,No,150,121,332
MCC (Micro Commercial Components),MCG010N06YL,Active,R H,Single,N,PDFN3333,60,±20,45,0.01,0.015,,1.3,2.5,No,150,40,180
MCC (Micro Commercial Components),MCAC150N15Y,Active,R H,Single,N,DFN5060,150,±20,11,0.15,0.17,,1.5,2.5,No,150,2.4,44
MCC (Micro Commercial Components),MCAC2D7N03YL,Active,R H,Single,N,DFN5060,30,±20,130,0.0027,0.0052,,1.2,2.5,No,150,84,520
MCC (Micro Commercial Components),MCAC8D3N10YH,Active,R H,Single,N,DFN5060,100,±20,81,0.0083,,,2,4,No,175,138,324
MCC (Micro Commercial Components),MCAC2D6N06YL,Active,R H,Single,N,DFN5060,60,±20,240,0.0026,0.0042,,1.3,2.4,No,175,272,960
MCC (Micro Commercial Components),MCAC5D2N10Y,Active,R H,Single,N,DFN5060,100,±20,117,0.0052,,,1.8,3.4,No,150,169,468
MCC (Micro Commercial Components),MCAC2D4N03YL,Active,R H,Single,N,DFN5060,30,±20,125,0.0024,0.0042,,1.2,2.2,No,150,110,500
MCC (Micro Commercial Components),MCAC3D5N04Y,Active,R H,Single,N,DFN5060,40,±20,118,0.0035,,,2,4,No,175,110,472
