,,Fast Recovery Rectifiers,,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Package Type,IF(AV)(A),VRWM (V),"VF
(V) [max]@IF(A)","IR (uA)  [max] @
VR",TRR (μs),IFSM (A),IF(A),VR (V),"Tj [max]
(°C)"
,,,,,,,,,,,,,,
MCC (Micro Commercial Components),FR157GP,Active,R,Single,DO-15,1.5,1000,1.3,5,0.5,50,1.5,1000,150
MCC (Micro Commercial Components),FR205GP,Active,R,Single,DO-15,2,600,1.3,5,0.25,60,2,600,150
MCC (Micro Commercial Components),FR206GP,Active,R,Single,DO-15,2,800,1.3,5,0.5,60,2,800,150
MCC (Micro Commercial Components),FR207GP,Active,R,Single,DO-15,2,1000,1.3,5,0.5,60,2,1000,150
MCC (Micro Commercial Components),1N4935GP,Active,R,Single,DO-41,1,200,1.2,5,0.2,30,1,200,150
MCC (Micro Commercial Components),1N4936GP,Active,R,Single,DO-41,1,400,1.2,5,0.2,30,1,400,150
MCC (Micro Commercial Components),1N4937GP,Active,R,Single,DO-41,1,600,1.2,5,0.2,30,1,600,150
MCC (Micro Commercial Components),1N4942GP,Active,R,Single,DO-41,1,200,1.3,5,0.15,25,1,200,150
MCC (Micro Commercial Components),1N4947GP,Active,R,Single,DO-41,1,800,1.3,5,0.25,25,1,800,150
MCC (Micro Commercial Components),1N4948GP,Active,R,Single,DO-41,1,1000,1.3,5,0.5,25,1,1000,150
MCC (Micro Commercial Components),FR104GP,Active,R,Single,DO-41,1,400,1.3,5,0.15,30,1,400,150
MCC (Micro Commercial Components),FR105GP,Active,R,Single,DO-41,1,600,1.3,5,0.25,30,1,600,150
MCC (Micro Commercial Components),FR106GP,Active,R,Single,DO-41,1,800,1.3,5,0.5,30,1,800,150
MCC (Micro Commercial Components),FR107GP,Active,R,Single,DO-41,1,1000,1.3,5,0.5,30,1,1000,150
MCC (Micro Commercial Components),BA159GP,Active,R,Single,DO-41,1,1000,1.3,5,0.25,30,1,1000,150
MCC (Micro Commercial Components),BA158GP,Active,R,Single,DO-41,1,600,1.3,5,0.15,30,1,600,150
MCC (Micro Commercial Components),R2000FGP,Active,R,Single,DO-41,0.5,2000,2.5,5,0.5,30,0.5,2000,150
MCC (Micro Commercial Components),FR504GP,Active,R,Single,DO-201AD,5,400,1.35,10,0.15,200,5,400,150
MCC (Micro Commercial Components),FR505GP,Active,R,Single,DO-201AD,5,600,1.35,10,0.25,200,5,600,150
MCC (Micro Commercial Components),FR506GP,Active,R,Single,DO-201AD,5,800,1.35,10,0.5,200,5,800,150
MCC (Micro Commercial Components),FR304GP,Active,R,Single,DO-201AD,3,400,1.3,5,0.15,150,3,400,150
MCC (Micro Commercial Components),FR305GP,Active,R,Single,DO-201AD,3,600,1.3,5,0.25,150,3,600,150
MCC (Micro Commercial Components),FR307GP,Active,R,Single,DO-201AD,3,1000,1.3,5,0.5,150,3,1000,150
