,,Small Signal Schottky Diodes,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Configuration,Package Type,IF(AV)(A),VRWM (V),"VF
(V) [max]@IF(A)","IR (uA) [max] @
VR",VR (V),IF(A),Tj [max] (°C)
,,,,,,,,,,,,,
MCC (Micro Commercial Components),BAS40-06T,Active,R H,Dual,Common Anode,SOT-523,0.2,40,1,0.2,30,0.04,125
MCC (Micro Commercial Components),BAT54AT,Active,R H,Dual,Common Anode,SOT-523,0.2,30,1,2,25,0.1,125
MCC (Micro Commercial Components),BAS70-06T,Active,R H,Dual,Common Anode,SOT-523,0.07,70,1,0.1,50,0.015,125
MCC (Micro Commercial Components),BAT54CM,Active,R H,Dual,Common Cathode,SOT-723,0.2,30,1,2,25,0.1,150
MCC (Micro Commercial Components),BAT54CTH,Active,R H,Dual,Common Cathode,SOT-523,0.2,30,1,2,25,0.1,150
MCC (Micro Commercial Components),BAT54CT,Active,R H,Dual,Common Cathode,SOT-523,0.2,30,1,2,25,0.1,125
MCC (Micro Commercial Components),BAS70WT-05HQ,Active,A R H,Dual,Common Cathode,SOT-323,0.07,70,1,0.2,50,0.015,150
MCC (Micro Commercial Components),BAS40-05T,Active,R H,Dual,Common Cathode,SOT-523,0.2,40,1,0.2,30,0.04,125
MCC (Micro Commercial Components),BAT54CHE3,Active,A R H,Dual,Common Cathode,SOT-23,0.2,30,0.4,2,25,0.01,125
MCC (Micro Commercial Components),BAT54CWTHQ,Active,A R H,Dual,Common Cathode,SOT-323,0.2,30,1,2,25,0.1,150
MCC (Micro Commercial Components),BAT54CWTH,Active,R H,Dual,Common Cathode,SOT-323,0.2,30,0.8,2,25,0.1,150
MCC (Micro Commercial Components),BAS40WT-05HE3,Active,A R H,Dual,Common Cathode,SOT-323,0.12,40,1,0.2,30,0.04,150
MCC (Micro Commercial Components),BAS70WT-05HE3,Active,A R H,Dual,Common Cathode,SOT-323,0.07,70,1,0.2,50,0.015,125
MCC (Micro Commercial Components),BAT54CWT,Active,R H,Dual,Common Cathode,SOT-323,0.2,30,0.8,2,25,0.1,125
MCC (Micro Commercial Components),BAS40WT-05HQ,Active,A R H,Dual,Common Cathode,SOT-323,0.12,40,1,0.2,30,0.04,150
MCC (Micro Commercial Components),BAS70WT-05,Active,R H,Dual,Common Cathode,SOT-323,0.07,70,1,0.1,50,0.015,125
MCC (Micro Commercial Components),BAS40WT-05,Active,R H,Dual,Common Cathode,SOT-323,0.2,40,1,1,30,0.04,150
MCC (Micro Commercial Components),BAT54CWTHE3,Active,A R H,Dual,Common Cathode,SOT-323,0.2,30,0.8,2,25,0.1,125
MCC (Micro Commercial Components),BAS70-05HE3,Active,A R H,Dual,Common Cathode,SOT-23,0.07,70,1,0.2,50,0.015,125
MCC (Micro Commercial Components),BAS70-05,Active,R H,Dual,Common Cathode,SOT-23,0.07,70,1,0.01,50,0.015,125
MCC (Micro Commercial Components),BAT54C,Active,R H,Dual,Common Cathode,SOT-23,0.2,30,0.4,2,25,0.01,125
MCC (Micro Commercial Components),BAT64-05,Active,R H,Dual,Common Cathode,SOT-23,0.25,40,0.43,2,25,0.01,150
MCC (Micro Commercial Components),BAS40-05,Active,R H,Dual,Common Cathode,SOT-23,0.2,40,1,0.01,30,0.04,125
MCC (Micro Commercial Components),BAT64-05HE3,Active,A R H,Dual,Common Cathode,SOT-23,0.225,40,0.43,2,25,0.01,150
MCC (Micro Commercial Components),BAS40-05HE3,Active,A R H,Dual,Common Cathode,SOT-23,0.2,40,1,0.2,30,0.04,150
MCC (Micro Commercial Components),BAT54CH,Active,R H,Dual,Common Cathode,SOT-23,0.3,40,0.9,1,30,0.1,150
MCC (Micro Commercial Components),BAR43C,Active,R H,Dual,Common Cathode,SOT-23,0.2,30,0.33,0.5,25,0.002,125
MCC (Micro Commercial Components),BAT54CHQ,Active,A R H,Dual,Common Cathode,SOT-23,0.2,30,1,2,25,0.1,150
MCC (Micro Commercial Components),B0540WSHQ,Active,A R H,Single,,SOD-323,0.5,40,0.55,80,20,0.5,150
MCC (Micro Commercial Components),BAS70WXHE3,Active,A R H,Single,,SOD-323,0.07,70,1,0.2,50,0.015,150
MCC (Micro Commercial Components),MBR160S,Active,R H,Single,,SOD-323,1,60,1,500,60,3,125
MCC (Micro Commercial Components),BAT46WSHE3,Active,A R H,Single,,SOD-323,0.15,100,1,0.5,10,0.25,125
MCC (Micro Commercial Components),BAS40WXHE3,Active,A R H,Single,,SOD-323,0.2,40,1,0.5,30,0.04,150
MCC (Micro Commercial Components),BAT54WSHQ,Active,A R H,Single,,SOD-323,0.2,30,1,2,25,0.1,150
MCC (Micro Commercial Components),BAT165WS,Active,R H,Single,,SOD-323,0.75,40,0.74,8,40,0.75,150
MCC (Micro Commercial Components),B05100WS,Active,R H,Single,,SOD-323,0.5,100,0.85,1,100,0.5,150
MCC (Micro Commercial Components),SMD22WS,Active,R H,Single,,SOD-323,2,20,0.55,100,20,2,125
MCC (Micro Commercial Components),MBRX0520L,Active,R H,Single,,SOD-323,0.5,20,0.39,250,20,0.5,125
MCC (Micro Commercial Components),BSR106WS,Active,R H,Single,,SOD-323,1,60,0.7,100,60,1,125
MCC (Micro Commercial Components),RB551V-30,Active,R H,Single,,SOD-323,0.5,30,0.47,100,20,0.5,125
MCC (Micro Commercial Components),RB551V-30HE3,Active,A R H,Single,,SOD-323,0.5,30,0.47,100,20,0.5,125
