,,Pre-Biased Transistors,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Polarity,Package Type,IO(mA),R1 Typ (KΩ),R2 Typ (KΩ),VCC(V),fT(MHz),PD(mW),Tj [max] (°C)
,,,,,,,,,,,,,
MCC (Micro Commercial Components),UMB18N,Active,R H,Dual(R1/R2),PNP*2,SOT-363,-100,4.7,10,-50,200,150,150
MCC (Micro Commercial Components),UMB11N,Active,R H,Dual(R1/R2),PNP*2,SOT-363,-100,10,10,-50,200,150,150
MCC (Micro Commercial Components),UMB2N,Active,R H,Dual(R1/R2),PNP*2,SOT-363,-100,47,47,-50,200,150,150
MCC (Micro Commercial Components),UMB13N,Active,R H,Dual(R1/R2),PNP*2,SOT-363,-100,4.7,47,-50,200,150,150
MCC (Micro Commercial Components),IMH8N,Active,R,Dual(R1),NPN*2,SOT23-6L,100,10,,50,200,300,150
MCC (Micro Commercial Components),UMB4N,Active,R H,Dual(R1),PNP*2,SOT-363,-100,10,,-50,250,150,150
MCC (Micro Commercial Components),UMF21N,Active,R H,Dual(R1/R2),NPN+PNP,SOT-363,100/-100,10,10,50,250,150,150
MCC (Micro Commercial Components),DTC143TCA,Active,R H,Single(R1),NPN,SOT-23,100,4.7,,50,250,200,150
MCC (Micro Commercial Components),DTC124TUA,Active,R H,Single(R1),NPN,SOT-323,100,22,,50,250,200,150
MCC (Micro Commercial Components),DTC144TCA,Active,R H,Single(R1),NPN,SOT-23,100,47,,50,250,200,150
MCC (Micro Commercial Components),DTC114TCA,Active,R H,Single(R1),NPN,SOT-23,100,10,,50,250,200,150
MCC (Micro Commercial Components),DTC124TCA,Active,R H,Single(R1),NPN,SOT-23,100,22,,50,250,200,150
MCC (Micro Commercial Components),DTC114GUA,Active,R H,Single(R1),NPN,SOT-323,100,10,,50,250,200,150
MCC (Micro Commercial Components),DTC143TUA,Active,R H,Single(R1),NPN,SOT-323,100,4.7,,50,250,200,150
MCC (Micro Commercial Components),DTC144TUA,Active,R H,Single(R1),NPN,SOT-323,100,47,,50,250,200,150
MCC (Micro Commercial Components),DTC114TUA,Active,R H,Single(R1),NPN,SOT-323,100,10,,50,250,200,150
MCC (Micro Commercial Components),DTC143TE,Active,R H,Single(R1),NPN,SOT-523,100,4.7,,50,250,150,150
MCC (Micro Commercial Components),DTC144TE,Active,R H,Single(R1),NPN,SOT-523,100,47,,50,250,150,150
MCC (Micro Commercial Components),DTC114TE,Active,R H,Single(R1),NPN,SOT-523,100,10,,50,250,150,150
MCC (Micro Commercial Components),DTC143TM,Active,R H,Single(R1),NPN,SOT-723,100,4.7,,50,250,100,150
MCC (Micro Commercial Components),DTC124TE,Active,R H,Single(R1),NPN,SOT-523,100,22,,50,250,200,150
MCC (Micro Commercial Components),DTC114YUA,Active,R H,Single(R1/R2),NPN,SOT-323,100,10,47,50,250,200,150
MCC (Micro Commercial Components),DTC124EUA,Active,R H,Single(R1/R2),NPN,SOT-323,100,22,22,50,250,200,150
MCC (Micro Commercial Components),DTC144WCA,Active,R H,Single(R1/R2),NPN,SOT-23,100,47,22,50,250,200,150
MCC (Micro Commercial Components),DTC144WUA,Active,R H,Single(R1/R2),NPN,SOT-323,100,47,22,50,250,200,150
MCC (Micro Commercial Components),DTC143ZUA,Active,R H,Single(R1/R2),NPN,SOT-323,100,4.7,47,50,250,200,150
MCC (Micro Commercial Components),DTC113ZUA,Active,R H,Single(R1/R2),NPN,SOT-323,100,1,10,50,250,200,150
MCC (Micro Commercial Components),DTC144EUA,Active,R H,Single(R1/R2),NPN,SOT-323,100,47,47,50,250,200,150
MCC (Micro Commercial Components),DTC114EUA,Active,R H,Single(R1/R2),NPN,SOT-323,100,10,10,50,250,200,150
MCC (Micro Commercial Components),DTC114WUA,Active,R H,Single(R1/R2),NPN,SOT-323,100,10,4.7,50,250,200,150
MCC (Micro Commercial Components),DTC114WCA,Active,R H,Single(R1/R2),NPN,SOT-23,100,10,4.7,50,250,200,150
MCC (Micro Commercial Components),DTC124ECA,Active,R H,Single(R1/R2),NPN,SOT-23,100,22,22,50,250,200,150
MCC (Micro Commercial Components),DTC144ECA,Active,R H,Single(R1/R2),NPN,SOT-23,100,47,47,50,250,200,150
MCC (Micro Commercial Components),DTC114ECA,Active,R H,Single(R1/R2),NPN,SOT-23,100,10,10,50,250,246,150
MCC (Micro Commercial Components),DTC114YCA,Active,R H,Single(R1/R2),NPN,SOT-23,100,10,47,50,250,230,150
MCC (Micro Commercial Components),DTC143ZCA,Active,R H,Single(R1/R2),NPN,SOT-23,100,4.7,47,50,250,246,150
MCC (Micro Commercial Components),DTC123JCA,Active,R H,Single(R1/R2),NPN,SOT-23,100,2.2,47,50,250,200,150
MCC (Micro Commercial Components),DTC123YUAHE3,Active,A R H,Single(R1/R2),NPN,SOT-323,100,2.2,10,50,200,200,150
MCC (Micro Commercial Components),DDTC114EUA,Active,R H,Single(R1/R2),NPN,SOT-323,500,10,10,50,160,200,150
MCC (Micro Commercial Components),DDTC143EUA,Active,R H,Single(R1/R2),NPN,SOT-323,500,4.7,4.7,50,160,200,150
MCC (Micro Commercial Components),DDTC113ZUA,Active,R H,Single(R1/R2),NPN,SOT-323,500,1,10,50,200,200,150
MCC (Micro Commercial Components),DDTC123EUA,Active,R H,Single(R1/R2),NPN,SOT-323,500,2.2,2.2,50,160,200,150
MCC (Micro Commercial Components),DDTC123YUA,Active,R H,Single(R1/R2),NPN,SOT-323,500,2.2,10,50,160,200,150
MCC (Micro Commercial Components),DTC143XCA,Active,R H,Single(R1/R2),NPN,SOT-23,100,4.7,10,50,200,200,150
MCC (Micro Commercial Components),DTC124XUA,Active,R H,Single(R1/R2),NPN,SOT-323,100,22,47,50,200,200,150
MCC (Micro Commercial Components),DTC123JUAHE3,Active,A R H,Single(R1/R2),NPN,SOT-323,100,2.2,47,50,200,200,150
MCC (Micro Commercial Components),DTC113ZCA,Active,R H,Single(R1/R2),NPN,SOT-23,100,1,10,50,250,200,150
MCC (Micro Commercial Components),DTC143ECA,Active,R H,Single(R1/R2),NPN,SOT-23,100,4.7,4.7,50,250,200,150
MCC (Micro Commercial Components),DTC123EUA,Active,R H,Single(R1/R2),NPN,SOT-323,100,2.2,2.2,50,250,200,150
MCC (Micro Commercial Components),DTC143ZUAHE3,Active,A R H,Single(R1/R2),NPN,SOT-323,100,4.7,47,50,250,200,150
MCC (Micro Commercial Components),DTC114EUAHE3,Active,A R H,Single(R1/R2),NPN,SOT-323,100,10,10,50,250,200,150
MCC (Micro Commercial Components),DTC124EUAHE3,Active,A R H,Single(R1/R2),NPN,SOT-323,100,22,22,50,250,200,150
MCC (Micro Commercial Components),DTC143EUAHE3,Active,A R H,Single(R1/R2),NPN,SOT-323,100,4.7,4.7,50,250,200,150
MCC (Micro Commercial Components),DTC144EUAHE3,Active,A R H,Single(R1/R2),NPN,SOT-323,100,47,47,50,250,200,150
MCC (Micro Commercial Components),DTC114YUAHE3,Active,A R H,Single(R1/R2),NPN,SOT-323,100,10,47,50,250,200,150
MCC (Micro Commercial Components),DTC123JUA,Active,R H,Single(R1/R2),NPN,SOT-323,100,2.2,47,50,250,200,150
MCC (Micro Commercial Components),DTC123YUA,Active,R H,Single(R1/R2),NPN,SOT-323,100,2.2,10,50,250,200,150
MCC (Micro Commercial Components),DTC143XUA,Active,R H,Single(R1/R2),NPN,SOT-323,100,4.7,10,50,250,200,150
MCC (Micro Commercial Components),DTC114EL3,Active,R H,Single(R1/R2),NPN,DFN1006-3,100,10,10,50,250,100,150
MCC (Micro Commercial Components),DTC114YL3,Active,R H,Single(R1/R2),NPN,DFN1006-3,100,10,47,50,250,100,150
MCC (Micro Commercial Components),DTC144EL3,Active,R H,Single(R1/R2),NPN,DFN1006-3,100,47,47,50,200,150,150
MCC (Micro Commercial Components),DTC114YM,Active,R H,Single(R1/R2),NPN,SOT-723,100,10,47,50,250,200,150
MCC (Micro Commercial Components),DTC143ZM,Active,R H,Single(R1/R2),NPN,SOT-723,100,4.7,47,50,250,100,150
MCC (Micro Commercial Components),DTC123JM,Active,R H,Single(R1/R2),NPN,SOT-723,100,2.2,47,50,250,100,150
MCC (Micro Commercial Components),DTC114EM,Active,R H,Single(R1/R2),NPN,SOT-723,100,10,10,50,250,150,150
MCC (Micro Commercial Components),DTC144EM,Active,R H,Single(R1/R2),NPN,SOT-723,100,47,47,50,250,100,150
MCC (Micro Commercial Components),DTC143EUA,Active,R H,Single(R1/R2),NPN,SOT-323,100,4.7,4.7,50,250,200,150
MCC (Micro Commercial Components),DTC123YCA,Active,R H,Single(R1/R2),NPN,SOT-23,100,2.2,10,50,250,200,150
MCC (Micro Commercial Components),DTC123ECA,Active,R H,Single(R1/R2),NPN,SOT-23,100,2.2,2.2,50,250,200,150
MCC (Micro Commercial Components),DDTC113ZCA,Active,R H,Single(R1/R2),NPN,SOT-23,500,1,10,50,250,250,150
MCC (Micro Commercial Components),DDTC123YCA,Active,R H,Single(R1/R2),NPN,SOT-23,500,2.2,10,50,200,200,150
MCC (Micro Commercial Components),DTC114ECAHE3,Active,A R H,Single(R1/R2),NPN,SOT-23,100,10,10,50,250,200,150
MCC (Micro Commercial Components),DTC114YCAHE3,Active,A R H,Single(R1/R2),NPN,SOT-23,100,10,47,50,250,200,150
MCC (Micro Commercial Components),DTC124ECAHE3,Active,A R H,Single(R1/R2),NPN,SOT-23,100,22,22,50,250,200,150
MCC (Micro Commercial Components),DTC143ZCAHE3,Active,A R H,Single(R1/R2),NPN,SOT-23,100,4.7,47,50,250,200,150
MCC (Micro Commercial Components),DTC144ECAHE3,Active,A R H,Single(R1/R2),NPN,SOT-23,100,47,47,50,250,200,150
MCC (Micro Commercial Components),DDTC143ECA,Active,R H,Single(R1/R2),NPN,SOT-23,500,4.7,4.7,50,160,200,150
MCC (Micro Commercial Components),DDTC123ECA,Active,R H,Single(R1/R2),NPN,SOT-23,500,2.2,2.2,50,160,200,150
MCC (Micro Commercial Components),DTC123YCAHE3,Active,A R H,Single(R1/R2),NPN,SOT-23,100,2.2,10,50,200,200,150
MCC (Micro Commercial Components),DTC124XCA,Active,R H,Single(R1/R2),NPN,SOT-23,100,22,47,50,200,200,150
MCC (Micro Commercial Components),DTC143ECAHE3,Active,A R H,Single(R1/R2),NPN,SOT-23,100,4.7,4.7,50,250,200,150
MCC (Micro Commercial Components),DTC123JCAHE3,Active,A R H,Single(R1/R2),NPN,SOT-23,100,2.2,47,50,200,200,150
MCC (Micro Commercial Components),DDTC114ECA,Active,R H,Single(R1/R2),NPN,SOT-23,500,10,10,50,160,200,150
MCC (Micro Commercial Components),DTC143ZE,Active,R H,Single(R1/R2),NPN,SOT-523,100,4.7,47,50,250,150,150
MCC (Micro Commercial Components),DTC114EE,Active,R H,Single(R1/R2),NPN,SOT-523,100,10,10,50,250,150,150
MCC (Micro Commercial Components),DTC144WE,Active,R H,Single(R1/R2),NPN,SOT-523,100,47,22,50,250,150,150
MCC (Micro Commercial Components),DTC123EE,Active,R H,Single(R1/R2),NPN,SOT-523,100,2.2,2.2,50,200,150,150
MCC (Micro Commercial Components),DTC123YE,Active,R H,Single(R1/R2),NPN,SOT-523,100,2.2,10,50,200,150,150
MCC (Micro Commercial Components),DTC143XE,Active,R H,Single(R1/R2),NPN,SOT-523,100,4.7,10,50,200,150,150
MCC (Micro Commercial Components),DTC143EE,Active,R H,Single(R1/R2),NPN,SOT-523,100,4.7,4.7,50,250,150,150
MCC (Micro Commercial Components),DTC123JE,Active,R H,Single(R1/R2),NPN,SOT-523,100,2.2,47,50,250,150,150
MCC (Micro Commercial Components),DTC114YE,Active,R H,Single(R1/R2),NPN,SOT-523,100,10,47,50,250,150,150
MCC (Micro Commercial Components),DTC124EE,Active,R H,Single(R1/R2),NPN,SOT-523,100,22,22,50,250,150,150
MCC (Micro Commercial Components),DTC144EE,Active,R H,Single(R1/R2),NPN,SOT-523,100,47,47,50,250,150,150
MCC (Micro Commercial Components),DTC114WE,Active,R H,Single(R1/R2),NPN,SOT-523,100,10,4.7,50,200,150,150
MCC (Micro Commercial Components),DTC124XE,Active,R H,Single(R1/R2),NPN,SOT-523,100,22,47,50,200,150,150
MCC (Micro Commercial Components),DTC113ZE,Active,R H,Single(R1/R2),NPN,SOT-523,100,1,10,50,250,150,150
MCC (Micro Commercial Components),DTC124EM,Active,R H,Single(R1/R2),NPN,SOT-723,100,22,22,50,250,100,150
MCC (Micro Commercial Components),DTC143XM,Active,R H,Single(R1/R2),NPN,SOT-723,100,4.7,10,50,250,100,150
MCC (Micro Commercial Components),DTC115EM,Active,R H,Single(R1/R2),NPN,SOT-723,100,100,100,50,250,100,150
MCC (Micro Commercial Components),DTC123EM,Active,R H,Single(R1/R2),NPN,SOT-723,100,2.2,2.2,50,250,100,150
MCC (Micro Commercial Components),DTC143EM,Active,R H,Single(R1/R2),NPN,SOT-723,100,4.7,4.7,50,250,150,150
MCC (Micro Commercial Components),DTC113ZM,Active,R H,Single(R1/R2),NPN,SOT-723,100,1,10,50,250,100,150
MCC (Micro Commercial Components),DTC124XM,Active,R H,Single(R1/R2),NPN,SOT-723,100,22,47,50,200,100,150
MCC (Micro Commercial Components),DTA143TM,Active,R H,Single(R1),PNP,SOT-723,-100,4.7,,-50,250,100,150
MCC (Micro Commercial Components),DTA114TE,Active,R H,Single(R1),PNP,SOT-523,-100,10,,-50,250,150,150
