Manufacture,Product,Status,Compliance,Number of Functions,Package Type,IF(AV)(A),VRWM (V),VF (V) [max]@IF(A),IR (uA) [max] @ VR,IFSM (A),IF(A),VR (V),Tj [max] (°C)
MCC (Micro Commercial Components),EPB2506,Active,R,1-Phase Bridge,PB,25,600,2,5,220,12.5,600,150
MCC (Micro Commercial Components),EPB3506,Active,R,1-Phase Bridge,PB,35,600,2,5,350,17.5,600,150
MCC (Micro Commercial Components),EPB5006,Active,R,1-Phase Bridge,PB,50,600,2,5,380,25,600,150
MCC (Micro Commercial Components),GBJ3516,Active,R H,1-Phase Bridge,GBJ,35,1600,1.1,5,350,17.5,1600,150
MCC (Micro Commercial Components),GBJ5016,Active,R H,1-Phase Bridge,GBJ,50,1600,1.1,5,500,25,1600,150
MCC (Micro Commercial Components),KBP810G,Active,R H,1-Phase Bridge,GBP,8,1000,1,5,170,4,1000,150
MCC (Micro Commercial Components),RKBP410G,Active,R H,1-Phase Bridge,GBP,4,1000,1.3,5,130,2,1000,150
MCC (Micro Commercial Components),RKBP810G,Active,R H,1-Phase Bridge,GBP,8,1000,1.3,5,170,4,1000,150
MCC (Micro Commercial Components),RGBUA4M,Active,R H,1-Phase Bridge,JC,4,1000,1.3,5,135,2,1000,150
MCC (Micro Commercial Components),RGBUA8M,Active,R H,1-Phase Bridge,JC,8,1000,1.3,5,160,4,1000,150
MCC (Micro Commercial Components),PB3516,Active,R,1-Phase Bridge,PB,35,1600,1.1,5,400,17.5,1600,150
MCC (Micro Commercial Components),PB5016,Active,R,1-Phase Bridge,PB,50,1600,1.1,5,500,25,1600,150
MCC (Micro Commercial Components),GBUA15M,Active,R H,1-Phase Bridge,JC,15,1000,1,5,200,7.5,1000,150
MCC (Micro Commercial Components),KBJA808L,Active,R H,1-Phase Bridge,JB,8,800,0.92,5,175,4,800,150
MCC (Micro Commercial Components),GBJ2516,Active,R H,1-Phase Bridge,GBJ,25,1600,1.1,5,320,12.5,1600,150
MCC (Micro Commercial Components),UD8KB80L,Active,R H,1-Phase Bridge,D3K,8,800,0.92,5,170,4,800,150
MCC (Micro Commercial Components),GBJ25L08A,Active,R H,1-Phase Bridge,GBJ,25,800,0.9,5,380,12.5,800,150
MCC (Micro Commercial Components),GBJ35L08,Active,R H,1-Phase Bridge,GBJ,35,800,0.92,5,400,17.5,800,150
MCC (Micro Commercial Components),PBA2510,Active,R H,1-Phase Bridge,PB-A,25,1000,1,5,350,12.5,1000,150
MCC (Micro Commercial Components),PBA3510,Active,R H,1-Phase Bridge,PB-A,35,1000,1,5,400,17.5,1000,150
MCC (Micro Commercial Components),PBA3516,Active,R H,1-Phase Bridge,PB-A,35,1600,1.1,5,400,17.5,1600,150
MCC (Micro Commercial Components),PBA5010,Active,R H,1-Phase Bridge,PB-A,50,1000,1.1,5,500,25,1000,150
MCC (Micro Commercial Components),PBA5016,Active,R H,1-Phase Bridge,PB-A,50,1600,1.1,5,500,25,1600,150
MCC (Micro Commercial Components),KBJ1016GS,Active,R H,1-Phase Bridge,KBJ,10,1600,1.05,5,160,5,1600,150
