,,TVS,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Configuration,Package Type,"Peak Pulse
Power
Dissipation
PPPM (W)","Reverse
Standoff
Voltage
VRWM(V)","Reverse
Leakage
IR(uA)","Max.
Clamping
Voltage
VC (V)","Peak Pulse
Current
IPP(A) ","Breakdown
Voltage
Min VBR(V)","Breakdown
Voltage
Max VBR(V)","Junction
Temperature
Tj [max] (°C)"
,,,,,,,,,,,,,
MCC (Micro Commercial Components),SM8Z10CAHE3,Active,A R,Bidirectional,DO-218AB,8000,10,15,17,470.6,11.1,12.3,175
MCC (Micro Commercial Components),SM8Z11CAHE3,Active,A R,Bidirectional,DO-218AB,8000,11,10,18.2,439.6,12.2,13.5,175
MCC (Micro Commercial Components),SM8Z12CAHE3,Active,A R,Bidirectional,DO-218AB,8000,12,10,19.9,402,13.3,14.7,175
MCC (Micro Commercial Components),SM8Z13CAHE3,Active,A R,Bidirectional,DO-218AB,8000,13,10,21.5,372.1,14.4,15.9,175
MCC (Micro Commercial Components),SM8Z14CAHE3,Active,A R,Bidirectional,DO-218AB,8000,14,10,23.2,344.8,15.6,17.2,175
MCC (Micro Commercial Components),SM8Z28CAHE3,Active,A R,Bidirectional,DO-218AB,8000,28,10,45.4,176.2,31.1,34.4,175
MCC (Micro Commercial Components),SMHEB40A,Active,R H,Unidirectional,SOD-323HE-B,200,40,1,64.5,3.1,44.4,49.1,150
MCC (Micro Commercial Components),SMHEB6.5A,Active,R H,Unidirectional,SOD-323HE-B,200,6.5,250,11.2,17.86,7.22,7.98,150
MCC (Micro Commercial Components),SMHEB7.0A,Active,R H,Unidirectional,SOD-323HE-B,200,7,100,12,16.67,7.78,8.6,150
MCC (Micro Commercial Components),SMHEB7.5A,Active,R H,Unidirectional,SOD-323HE-B,200,7.5,50,12.9,15.5,8.33,9.21,150
MCC (Micro Commercial Components),SMHEB8.0A,Active,R H,Unidirectional,SOD-323HE-B,200,8,25,13.6,14.71,8.89,9.83,150
MCC (Micro Commercial Components),SMHEB8.5A,Active,R H,Unidirectional,SOD-323HE-B,200,8.5,10,14.4,13.89,9.44,10.4,150
MCC (Micro Commercial Components),SMHEB9.0A,Active,R H,Unidirectional,SOD-323HE-B,200,9,5,15.4,12.99,10,11.1,150
MCC (Micro Commercial Components),SMAJP4KE300CAQ,Active,A R H,Bidirectional,SMA,400,256,1,414,0.97,285,315,175
MCC (Micro Commercial Components),SMAJP4KE530CAQ,Active,A R H,Bidirectional,SMA,400,451,1,725,0.55,503.5,556.5,175
MCC (Micro Commercial Components),SMF3.3A,Active,R H,Unidirectional,SOD-123FL,200,3.3,150,8,27.4,5.2,6.5,150
MCC (Micro Commercial Components),SMAJ250AQ,Active,A R H,Unidirectional,SMA,400,250,1,405,1,279,309,175
MCC (Micro Commercial Components),SMAJ300AQ,Active,A R H,Unidirectional,SMA,400,300,1,486,0.8,335,371,175
MCC (Micro Commercial Components),SMAJ350AQ,Active,A R H,Unidirectional,SMA,400,350,1,567,0.7,391,432,175
MCC (Micro Commercial Components),SMAJ400AQ,Active,A R H,Unidirectional,SMA,400,400,1,648,0.6,447,494,175
MCC (Micro Commercial Components),SMAJ440AQ,Active,A R H,Unidirectional,SMA,400,440,1,713,0.6,492,543,175
MCC (Micro Commercial Components),SMAJ250CAQ,Active,A R H,Bidirectional,SMA,400,250,1,405,1,279,309,175
MCC (Micro Commercial Components),SMAJ300CAQ,Active,A R H,Bidirectional,SMA,400,300,1,486,0.8,335,371,175
MCC (Micro Commercial Components),SMAJ350CAQ,Active,A R H,Bidirectional,SMA,400,350,1,567,0.7,391,432,175
MCC (Micro Commercial Components),SMAJ400CAQ,Active,A R H,Bidirectional,SMA,400,400,1,648,0.6,447,494,175
MCC (Micro Commercial Components),SMAJ440CAQ,Active,A R H,Bidirectional,SMA,400,440,1,713,0.6,492,543,175
MCC (Micro Commercial Components),SMBJ250AQ,Active,A R H,Unidirectional,SMB,600,250,1,405,1.48,279,309,175
MCC (Micro Commercial Components),SMBJ300AQ,Active,A R H,Unidirectional,SMB,600,300,1,486,1.23,335,371,175
MCC (Micro Commercial Components),SMBJ350AQ,Active,A R H,Unidirectional,SMB,600,350,1,567,1.06,391,432,175
MCC (Micro Commercial Components),SMBJ400AQ,Active,A R H,Unidirectional,SMB,600,400,1,648,0.93,447,494,175
MCC (Micro Commercial Components),SMBJ440AQ,Active,A R H,Unidirectional,SMB,600,440,1,713,0.84,492,543,175
MCC (Micro Commercial Components),SMBJ200CAQ,Active,A R H,Bidirectional,SMB,600,200,1,324,1.85,224,247,175
MCC (Micro Commercial Components),SMBJ400CAQ,Active,A R H,Bidirectional,SMB,600,400,1,648,0.93,447,494,175
MCC (Micro Commercial Components),SMBJ440CAQ,Active,A R H,Bidirectional,SMB,600,440,1,713,0.84,492,543,175
MCC (Micro Commercial Components),SMBJP6KE400CAQ,Active,A R H,Bidirectional,SMB,600,342,1,548,1.09,380,420,175
MCC (Micro Commercial Components),SMBJP6KE440CAQ,Active,A R H,Bidirectional,SMB,600,376,1,607.2,0.99,418,462,175
MCC (Micro Commercial Components),SMBJP6KE480CAQ,Active,A R H,Bidirectional,SMB,600,408,1,658,0.91,456,504,175
MCC (Micro Commercial Components),SMBJP6KE510CAQ,Active,A R H,Bidirectional,SMB,600,434,1,698.1,0.86,485,534,175
MCC (Micro Commercial Components),SMBJP6KE530CAQ,Active,A R H,Bidirectional,SMB,600,451,1,725,0.8,503.5,556.5,175
MCC (Micro Commercial Components),SMBJP6KE540CAQ,Active,A R H,Bidirectional,SMB,600,460,1,740,0.8,513,567,175
MCC (Micro Commercial Components),SMBJP6KE540AQ,Active,A R H,Unidirectional,SMB,600,460,1,740,0.8,513,567,175
MCC (Micro Commercial Components),SMBJP6KE250CAQ,Active,A R H,Bidirectional,SMB,600,214,1,344,1.9,237,263,175
MCC (Micro Commercial Components),SMBJP6KE300CAQ,Active,A R H,Bidirectional,SMB,600,256,1,414,1.45,285,315,175
MCC (Micro Commercial Components),SMBJP6KE350CAQ,Active,A R H,Bidirectional,SMB,600,300,1,482,1.24,332.5,367.5,175
MCC (Micro Commercial Components),SMBJ200AQ,Active,A R H,Unidirectional,SMB,600,200,1,324,1.85,224,247,175
MCC (Micro Commercial Components),SMBJ220AQ,Active,A R H,Unidirectional,SMB,600,220,1,356,1.69,246,272,175
MCC (Micro Commercial Components),SMBJP6KE350AQ,Active,A R H,Unidirectional,SMB,600,300,1,482,1.24,332.5,367.5,175
MCC (Micro Commercial Components),SMBJP6KE400AQ,Active,A R H,Unidirectional,SMB,600,342,1,548,1.09,380,420,175
MCC (Micro Commercial Components),SMBJP6KE440AQ,Active,A R H,Unidirectional,SMB,600,376,1,607.2,0.99,418,462,175
MCC (Micro Commercial Components),SMBJP6KE480AQ,Active,A R H,Unidirectional,SMB,600,408,1,658,0.91,456,504,175
MCC (Micro Commercial Components),SMBJP6KE510AQ,Active,A R H,Unidirectional,SMB,600,434,1,698.1,0.86,485,534,175
MCC (Micro Commercial Components),SMBJP6KE530AQ,Active,A R H,Unidirectional,SMB,600,451,1,725,0.8,503.5,556.5,175
MCC (Micro Commercial Components),SMBJ220CAQ,Active,A R H,Bidirectional,SMB,600,220,1,356,1.69,246,272,175
MCC (Micro Commercial Components),SMBJ250CAQ,Active,A R H,Bidirectional,SMB,600,250,1,405,1.48,279,309,175
MCC (Micro Commercial Components),SMBJ300CAQ,Active,A R H,Bidirectional,SMB,600,300,1,486,1.23,335,371,175
MCC (Micro Commercial Components),SMBJ350CAQ,Active,A R H,Bidirectional,SMB,600,350,1,567,1.06,391,432,175
MCC (Micro Commercial Components),SMBJP6KE250AQ,Active,A R H,Unidirectional,SMB,600,214,1,344,1.9,237,263,175
MCC (Micro Commercial Components),SMBJP6KE300AQ,Active,A R H,Unidirectional,SMB,600,256,1,414,1.45,285,315,175
MCC (Micro Commercial Components),SM4H20AHE3,Active,A R H,Unidirectional,SOD-123HL,400,20,1,32.4,12.34,22.2,24.5,150
MCC (Micro Commercial Components),SM4H22AHE3,Active,A R H,Unidirectional,SOD-123HL,400,22,1,35.5,11.26,24.4,26.9,150
MCC (Micro Commercial Components),SM4H24AHE3,Active,A R H,Unidirectional,SOD-123HL,400,24,1,38.9,10.28,26.7,29.5,150
MCC (Micro Commercial Components),SM4H26AHE3,Active,A R H,Unidirectional,SOD-123HL,400,26,1,42.1,9.5,28.9,31.9,150
MCC (Micro Commercial Components),SM4H28AHE3,Active,A R H,Unidirectional,SOD-123HL,400,28,1,45.4,8.82,31.1,34.4,150
MCC (Micro Commercial Components),SM4H30AHE3,Active,A R H,Unidirectional,SOD-123HL,400,30,1,48.4,8.26,33.3,36.8,150
MCC (Micro Commercial Components),SM4H8.5AHE3,Active,A R H,Unidirectional,SOD-123HL,400,8.5,10,14.4,27.78,9.44,10.4,150
MCC (Micro Commercial Components),SM4H9.0AHE3,Active,A R H,Unidirectional,SOD-123HL,400,9,5,15.4,25.97,10,11.1,150
MCC (Micro Commercial Components),SM4H10AHE3,Active,A R H,Unidirectional,SOD-123HL,400,10,2.5,17,23.52,11.1,12.3,150
MCC (Micro Commercial Components),SM4H11AHE3,Active,A R H,Unidirectional,SOD-123HL,400,11,2.5,18.2,21.98,12.2,13.5,150
MCC (Micro Commercial Components),SM4H12AHE3,Active,A R H,Unidirectional,SOD-123HL,400,12,2.5,19.9,20.1,13.3,14.7,150
MCC (Micro Commercial Components),SM4H64AHE3,Active,A R H,Unidirectional,SOD-123HL,400,64,1,103,3.88,71.1,78.6,150
MCC (Micro Commercial Components),SM4H70AHE3,Active,A R H,Unidirectional,SOD-123HL,400,70,1,113,3.54,77.8,86,150
MCC (Micro Commercial Components),SM4H6.5AHE3,Active,A R H,Unidirectional,SOD-123HL,400,6.5,500,11.2,35.71,7.22,7.98,150
MCC (Micro Commercial Components),SM4H7.0AHE3,Active,A R H,Unidirectional,SOD-123HL,400,7,200,12,33.33,7.78,8.6,150
MCC (Micro Commercial Components),SM4H7.5AHE3,Active,A R H,Unidirectional,SOD-123HL,400,7.5,100,12.9,31.01,8.33,9.21,150
MCC (Micro Commercial Components),SM4H8.0AHE3,Active,A R H,Unidirectional,SOD-123HL,400,8,50,13.6,29.41,8.89,9.83,150
MCC (Micro Commercial Components),SM4H45AHE3,Active,A R H,Unidirectional,SOD-123HL,400,45,1,72.7,5.5,50,55.3,150
MCC (Micro Commercial Components),SM4H48AHE3,Active,A R H,Unidirectional,SOD-123HL,400,48,1,77.4,5.16,53.3,58.9,150
MCC (Micro Commercial Components),SM4H51AHE3,Active,A R H,Unidirectional,SOD-123HL,400,51,1,82.4,4.86,56.7,62.7,150
MCC (Micro Commercial Components),SM4H54AHE3,Active,A R H,Unidirectional,SOD-123HL,400,54,1,87.1,4.6,60,66.3,150
MCC (Micro Commercial Components),SM4H58AHE3,Active,A R H,Unidirectional,SOD-123HL,400,58,1,93.6,4.28,64.4,71.2,150
MCC (Micro Commercial Components),SM4H60AHE3,Active,A R H,Unidirectional,SOD-123HL,400,60,1,96.8,4.14,66.7,73.7,150
MCC (Micro Commercial Components),SM4H15AHE3,Active,A R H,Unidirectional,SOD-123HL,400,15,1,24.4,16.4,16.7,18.5,150
MCC (Micro Commercial Components),SM4H16AHE3,Active,A R H,Unidirectional,SOD-123HL,400,16,1,26,15.38,17.8,19.7,150
MCC (Micro Commercial Components),SM4H17AHE3,Active,A R H,Unidirectional,SOD-123HL,400,17,1,27.6,14.5,18.9,20.9,150
MCC (Micro Commercial Components),SM4H18AHE3,Active,A R H,Unidirectional,SOD-123HL,400,18,1,29.2,13.7,20,22.1,150
