Manufacture,Product,Status,Compliance,Number of Functions,Configuration,Package Type,IF(AV)(A),VRWM(V),VF (V) [max]@IF(A),IR(uA) [max] @ VR,TRR (μs),VR (V),IF(A),PD (mW),Tj [max] (°C)
MCC (Micro Commercial Components),MMBD4448HTC,Active,R H,Dual,,SOT-523,0.25,100,0.72,0.025,0.004,20,0.005,150,150
MCC (Micro Commercial Components),BAV70M,Active,R H,Dual,,SOT-723,0.2,75,1.25,2.5,0.004,75,0.15,150,150
MCC (Micro Commercial Components),DAN222,Active,R H,Dual,,SOT-523,0.1,80,1.2,0.1,0.004,70,0.1,,150
MCC (Micro Commercial Components),BAW56DW,Active,R H,Dual-Dual,Common Anode,SOT-363,0.15,75,1,2.5,0.004,75,0.05,200,150
MCC (Micro Commercial Components),BAW567DW,Active,R H,Dual-Dual,Common Anode,SOT-363,0.15,75,1,2.5,0.004,75,0.05,200,150
MCC (Micro Commercial Components),BAV70DW,Active,R H,Dual-Dual,Common Cathode,SOT-363,0.3,75,1,2.5,0.004,75,0.05,200,150
MCC (Micro Commercial Components),MMBD4448HSDW,Active,R H,Dual-Dual,Series,SOT-363,0.25,80,1,0.1,0.004,70,0.05,200,150
MCC (Micro Commercial Components),MMBD4448HSDWHE3,Active,A R H,Dual-Dual,Series,SOT-363,0.25,80,1,0.1,0.004,70,0.05,200,150
MCC (Micro Commercial Components),BAV99BRW,Active,R H,Dual-Dual,Series,SOT-363,0.15,75,0.855,2.5,0.004,75,0.01,200,150
MCC (Micro Commercial Components),MMBD4448HCDW,Active,R H,Dual-Dual,Common Anode,SOT-363,0.25,80,1,0.1,0.004,70,0.05,200,150
MCC (Micro Commercial Components),BAS21S,Active,R H,Dual,,SOT-23,0.2,250,1.1,1,0.05,200,0.1,225,150
MCC (Micro Commercial Components),BAV23S,Active,R H,Dual,,SOT-23,0.225,200,1.25,0.1,0.05,250,0.2,350,150
MCC (Micro Commercial Components),BAV23SHE3,Active,A R H,Dual,,SOT-23,0.225,250,1.25,0.1,0.05,250,0.2,350,150
MCC (Micro Commercial Components),1SS400,Active,R H,Single,,SOD-523,0.1,90,1.2,0.1,0.004,80,0.1,150,150
MCC (Micro Commercial Components),1SS357,Active,R H,Single,,SOD-323,0.1,45,0.36,5,,40,0.01,200,125
MCC (Micro Commercial Components),1SS355HE3,Active,A R H,Single,,SOD-323,0.15,90,1.2,0.1,0.004,80,0.1,,150
MCC (Micro Commercial Components),1SS355,Active,R H,Single,,SOD-323,0.1,90,1.2,0.1,0.004,80,0.1,,150
MCC (Micro Commercial Components),BAV99DW,Active,R H,Dual-Dual,Series,SOT-363,0.15,75,0.855,2.5,0.004,75,0.01,200,150
MCC (Micro Commercial Components),BAV199DW,Active,R H,Dual-Dual,Series,SOT-363,0.16,85,1,0.005,3,75,0.01,200,150
MCC (Micro Commercial Components),MMBD4448HT,Active,R H,Single,,SOT-523,0.25,100,0.72,0.025,0.004,20,0.005,150,150
MCC (Micro Commercial Components),MMBD4448HAQW,Active,R H,Quad,Common Anode,SOT-363,0.25,80,1,0.1,0.004,70,0.05,200,150
MCC (Micro Commercial Components),MMBD4448HCQW,Active,R H,Dual-Dual,Common Anode,SOT-363,0.25,80,1,0.1,0.004,70,0.05,200,150
MCC (Micro Commercial Components),BAV756DW,Active,R H,Dual-Dual,Series,SOT-363,0.15,75,1.25,2.5,0.004,75,0.15,200,150
MCC (Micro Commercial Components),MMSD914,Active,R H,Single,,SOD-123,0.2,75,1,2.5,0.004,75,0.01,400,150
MCC (Micro Commercial Components),MMBD914,Active,R H,Single,,SOT-23,0.2,100,0.855,0.025,0.004,20,0.01,350,150
MCC (Micro Commercial Components),BAS19WTHE3,Active,A R H,Single,,SOT-323,0.2,100,1,100,0.05,100,0.1,200,150
MCC (Micro Commercial Components),BAS20WTHE3,Active,A R H,Single,,SOT-323,0.2,150,1,100,0.05,150,0.1,200,150
MCC (Micro Commercial Components),BAS21WTHE3,Active,A R H,Single,,SOT-323,0.2,200,1,100,0.05,200,0.1,200,150
MCC (Micro Commercial Components),BAS16WTHE3,Active,A R H,Single,,SOT-323,0.15,75,1,1,0.004,75,0.05,200,150
MCC (Micro Commercial Components),MMBD4148WTHE3,Active,A R H,Single,,SOT-323,0.15,75,1,1,0.004,75,0.05,200,150
